"model","FH","MAE","MAPE","RMSE"
"SSA-STACK","3-steps",0.371697785173144,0.0541440091534049,0.493137719926812
"knn","3-steps",0.393959444355881,0.0575541904301018,0.521959967540838
"pls","3-steps",0.383791264293771,0.0558685108243114,0.500061548284602
"ridge","3-steps",0.365124927894315,0.0533723465168314,0.48533096506628
"svmLinear2","3-steps",0.379713428605036,0.056297420801969,0.505934081868186
"SSA-STACK","6-steps",0.408833042969779,0.0591315496707955,0.53679739638359
"knn","6-steps",0.438280979184542,0.0637380207245567,0.579209364156507
"pls","6-steps",0.418435242852748,0.060689967169407,0.540234491576014
"ridge","6-steps",0.407207461087341,0.0590470977920343,0.535717745505876
"svmLinear2","6-steps",0.431404690786613,0.0635661616740713,0.565672614105723
"SSA-STACK","12-steps",0.446832708233879,0.0644721387355564,0.570203667662247
"knn","12-steps",0.488109924345085,0.0705053474603349,0.626874449089001
"pls","12-steps",0.448013761368201,0.0647367507027253,0.571133292377666
"ridge","12-steps",0.440952458515236,0.0636758383277975,0.568661836706973
"svmLinear2","12-steps",0.485266496672148,0.0717514422485625,0.631942726975072
