"model","FH","MAE","MAPE","RMSE"
"SSA-STACK","1-steps",0.28670036083176,0.0414721393399993,0.374472159135437
"knn","1-steps",0.362628156515675,0.0519680661864762,0.478891133674563
"pls","1-steps",0.332933640426825,0.0478905296844896,0.431268268980095
"ridge","1-steps",0.28582709891296,0.0412181794741554,0.371158538418071
"svmLinear2","1-steps",0.289292080906966,0.0416620831260912,0.373923109649109
"SSA-STACK","3-steps",0.473640897728148,0.0681885100652397,0.638251755310363
"knn","3-steps",0.502249214541072,0.0719417130083745,0.667574008745419
"pls","3-steps",0.473131210772274,0.0680006055398116,0.635296721313783
"ridge","3-steps",0.473576736238502,0.0680462681081499,0.649067063870691
"svmLinear2","3-steps",0.472974077712283,0.0680934546866452,0.649663671971929
"SSA-STACK","6-steps",0.55466508099011,0.0798343104209392,0.740478416518947
"knn","6-steps",0.578694249952832,0.082549478883336,0.773904934732522
"pls","6-steps",0.563712239571889,0.0810539218924301,0.743344645528471
"ridge","6-steps",0.568886530532131,0.0812645325890629,0.762601192620373
"svmLinear2","6-steps",0.578756296885926,0.08276594149454,0.777961045147295
